step,elapsed_tokens,elapsed_examples,training_loss,training_sequence_accuracy,training_token_accuracy,validation_loss,validation_sequence_accuracy,validation_token_accuracy,classification/accuracy,classification/precision,classification/recall,classification/auroc,classification/auprc,classification/f1.0
1,329,1,0.09319242380146334,0.0,0.0,0.06802331056963036,0.0,0.0,,,,,,
2,642,2,0.08082463858662427,0.0,0.0,,,,,,,,,
3,1099,3,0.05767600563301816,0.0,0.0,,,,,,,,,
4,1364,4,0.07527784259800792,0.0,0.0,,,,,,,,,
5,1797,5,0.036926196835017806,0.0,0.0,,,,,,,,,
6,2254,6,0.03645359217965865,0.0,0.0,,,,,,,,,
7,2975,7,0.03449156524756634,0.0,0.0,,,,,,,,,
8,3440,8,0.03512557283852057,1.0,1.0,,,,,,,,,
9,3873,9,0.03890409233342169,1.0,1.0,0.036402943072851586,1.0,1.0,,,,,,
10,4074,10,0.045897933114471386,0.0,0.0,,,,,,,,,
11,4451,11,0.03843636143143738,1.0,1.0,,,,,,,,,
12,4868,12,0.03355342988278293,1.0,1.0,,,,,,,,,
13,5013,13,0.0355309280927597,1.0,1.0,,,,,,,,,
14,5294,14,0.03351132199507888,1.0,1.0,,,,,,,,,
15,5863,15,0.028921925520516596,0.0,0.0,,,,,,,,,
16,6488,16,0.030111332707480044,1.0,1.0,,,,,,,,,
17,7505,17,0.03242919020220215,1.0,1.0,0.02740990880772048,1.0,1.0,,,,,,
18,7730,18,0.037566171351038194,1.0,1.0,,,,,,,,,
19,8531,19,0.030468577531365008,1.0,1.0,,,,,,,,,
20,8868,20,0.03372967983064189,1.0,1.0,,,,,,,,,
21,9381,21,0.02694173229198668,1.0,1.0,,,,,,,,,
22,9750,22,0.03341170082531236,1.0,1.0,,,,,,,,,
23,10223,23,0.03408058035118433,1.0,1.0,,,,,,,,,
24,10608,24,0.034380528392945656,1.0,1.0,,,,,,,,,
25,10841,25,0.026160447499302693,1.0,1.0,0.028717790491463415,1.0,1.0,,,,,,
26,11202,26,0.029220692289663324,1.0,1.0,,,,,,,,,
27,11651,27,0.030712985714732376,1.0,1.0,,,,,,,,,
28,12212,28,0.031104818747513363,1.0,1.0,,,,,,,,,
29,12429,29,0.02642671595125244,1.0,1.0,,,,,,,,,
30,12838,30,0.029899080786373777,1.0,1.0,,,,,,,,,
31,13047,31,0.03465790286021799,1.0,1.0,,,,,,,,,
32,13648,32,0.02942886925094366,1.0,1.0,,,,,,,,,
33,14161,33,0.028706541898920933,1.0,1.0,0.027393282798111988,1.0,1.0,,,,,,
34,14298,34,0.03229840365584096,1.0,1.0,,,,,,,,,
35,14819,35,0.030390898764857975,1.0,1.0,,,,,,,,,
36,15092,36,0.03144301452930396,1.0,1.0,,,,,,,,,
37,15237,37,0.028804911936979097,1.0,1.0,,,,,,,,,
38,15438,38,0.028445956016481064,1.0,1.0,,,,,,,,,
39,16567,39,0.03041885073937087,1.0,1.0,,,,,,,,,
40,17728,40,0.02518672096753498,1.0,1.0,,,,,,,,,
41,18057,41,0.027248249516884444,1.0,1.0,0.027857625455827418,1.0,1.0,,,,,,
42,18738,42,0.02899873079697927,1.0,1.0,,,,,,,,,
43,19179,43,0.02781953866718289,1.0,1.0,,,,,,,,,
44,19684,44,0.03281279322723426,1.0,1.0,,,,,,,,,
45,20397,45,0.026680084865620762,1.0,1.0,,,,,,,,,
46,21086,46,0.024852478226029085,1.0,1.0,,,,,,,,,
47,21263,47,0.034086207955217766,1.0,1.0,,,,,,,,,
48,21560,48,0.02938665278102604,1.0,1.0,,,,,,,,,
49,21913,49,0.02635141444590028,1.0,1.0,0.026892682827247764,1.0,1.0,,,,,,
50,22722,50,0.023969288181062153,1.0,1.0,,,,,,,,,
51,23347,51,0.03026834897482789,1.0,1.0,,,,,,,,,
52,24268,52,0.016566105721074406,1.0,1.0,,,,,,,,,
53,24429,53,0.022788672950225193,1.0,1.0,,,,,,,,,
54,25038,54,0.028034703799032744,1.0,1.0,,,,,,,,,
55,25199,55,0.032237887513696474,1.0,1.0,,,,,,,,,
56,26056,56,0.029214099651033342,1.0,1.0,,,,,,,,,
57,28057,57,0.021957687454550723,1.0,1.0,0.03389922356817981,1.0,1.0,,,,,,
58,28354,58,0.028982800488860747,1.0,1.0,,,,,,,,,
59,28579,59,0.02063866870316084,1.0,1.0,,,,,,,,,
60,28860,60,0.026439895056747313,1.0,1.0,,,,,,,,,
61,29349,61,0.03191079564171262,1.0,1.0,,,,,,,,,
62,31166,62,0.027630567594517184,1.0,1.0,,,,,,,,,
63,31623,63,0.03041079443045323,1.0,1.0,,,,,,,,,
64,32368,64,0.02862665924970626,1.0,1.0,,,,,,,,,
65,33201,65,0.03303171329393396,1.0,1.0,0.02901269367375376,1.0,1.0,,,,,,
66,33522,66,0.0321217781368332,1.0,1.0,,,,,,,,,
67,34011,67,0.02004889223565308,1.0,1.0,,,,,,,,,
68,34788,68,0.014245342767283632,1.0,1.0,,,,,,,,,
69,35741,69,0.027443928339594824,1.0,1.0,,,,,,,,,
70,36998,70,0.01316927732886276,1.0,1.0,,,,,,,,,
71,37439,71,0.025096594399294025,1.0,1.0,,,,,,,,,
72,37848,72,0.026824368609297523,1.0,1.0,,,,,,,,,
73,38225,73,0.030482305664871943,1.0,1.0,0.02455165255083928,1.0,1.0,,,,,,
74,38474,74,0.029310992745294858,1.0,1.0,,,,,,,,,
75,39667,75,0.02800101691792797,1.0,1.0,,,,,,,,,
76,40020,76,0.02737994485628902,1.0,1.0,,,,,,,,,
77,40341,77,0.025616820953995558,1.0,1.0,,,,,,,,,
78,41142,78,0.028593572421448697,1.0,1.0,,,,,,,,,
79,41463,79,0.02828848379250258,1.0,1.0,,,,,,,,,
80,41584,80,0.023708374191803157,1.0,1.0,,,,,,,,,
81,42313,81,0.0316063335505509,1.0,1.0,0.026981023578128593,1.0,1.0,,,,,,
82,42474,82,0.04363902476463045,0.0,0.0,,,,,,,,,
83,43187,83,0.031439762288066476,1.0,1.0,,,,,,,,,
84,44284,84,0.01887438168384524,1.0,1.0,,,,,,,,,
85,44941,85,0.02849850103813385,1.0,1.0,,,,,,,,,
86,45270,86,0.028790059716550388,1.0,1.0,,,,,,,,,
87,45695,87,0.024609761086729184,1.0,1.0,,,,,,,,,
88,46224,88,0.02526410914452451,1.0,1.0,,,,,,,,,
89,46593,89,0.032259461867328476,1.0,1.0,0.02869124714299582,1.0,1.0,,,,,,
90,47586,90,0.029856803179203004,1.0,1.0,,,,,,,,,
91,48291,91,0.02636022707859752,1.0,1.0,,,,,,,,,
